time,open,high,low,close,vol
2017-03-22,1135.51,1154.83,1060,1075.99,15.5920579
2017-03-23,1073,1119,1003,1060.55,16.52299323
2017-03-24,1061,1095.98,940,949,22.5620292
2017-03-25,870.01,990.98,870,990.98,8.32147172
2017-03-26,970,1050,956.01,999.99,6.54549596
2017-03-27,999.99,1064.99,965.05,1064.99,9.87579723
2017-03-28,1064.99,1119.99,1045.01,1108,19.08349672
2017-03-29,1108,1108,1040,1067,16.37979953
2017-03-30,1094,1096.4,1030,1078,12.61807051
2017-03-31,1080,1092,1057,1089,8.0873176
2017-04-01,1090,1114.98,1080.01,1114.96,7.81663994
2017-04-02,1100,1134.98,1086.11,1123,5.24580559
2017-04-03,1133,1190,1114.11,1188.74,15.40401677
2017-04-04,1154.01,1199.55,1130.01,1165,14.91059516
2017-04-05,1172,1172,1130.02,1158.99,9.92487383
2017-04-06,1158.99,1210,1158.99,1194,9.37426743
2017-04-07,1186.02,1209.77,1160,1209.77,4.17954658
2017-04-08,1209.77,1214.49,1160.32,1185,7.03485231
2017-04-09,1185,1250,1181.33,1217.01,8.61052835
2017-04-10,1246.7,1246.77,1212.01,1235,4.31174499
2017-04-11,1233.99,1234.5,1210,1223.5,5.54377227
2017-04-12,1223.5,1244.99,1214,1223,8.42347705
2017-04-13,1224,1244,1180,1214,14.08337615
2017-04-14,1193,1228,1185.02,1196,9.62909046
2017-04-15,1200,1200,1186.04,1186.04,7.08813027
2017-04-16,1186.05,1199.99,1186.03,1199.99,0.93088769
2017-04-17,1187,1200,1187,1200,2.41205398
2017-04-18,1200,1244.99,1188.32,1240.39,12.85120673
2017-04-19,1224,1232.1,1210.01,1215,6.83236336
2017-04-20,1215,1248.98,1215,1248.98,7.28609178
2017-04-21,1236.01,1260,1236.01,1255.4,4.61972249
2017-04-22,1255.4,1258,1221.02,1251.99,6.4526828
2017-04-23,1256.99,1256.99,1199,1200.01,11.97270686
2017-04-24,1251.95,1264.99,1081,1242,15.78148268
2017-04-25,1259,1280,1247.01,1265,5.90444777
2017-04-26,1280,1313,1258.01,1312.99,17.78516801
2017-04-27,1298,1349,1298,1340,17.18764439
2017-04-28,1339,1390,1287.01,1349.9,28.00320859
2017-04-29,1350.88,1366,1328.1,1359.99,4.07284712
2017-04-30,1358,1399.99,1325.11,1356,10.13466427
2017-05-01,1355.99,1438,1331.03,1362.5,27.16167968
2017-05-02,1360,1500,1350,1434.99,22.00494748
2017-05-03,1437,1492,1400,1491.99,20.41833174
2017-05-04,1491.97,1630,1400,1480,38.11986147
2017-05-05,1569,1599.49,1485.01,1529,8.30303907
2017-05-06,1548.99,1600,1530.07,1575,24.50842977
2017-05-07,1560,1618.99,1549,1568.11,16.61246174
2017-05-08,1599.99,1740,1572.01,1725.99,17.37865681
2017-05-09,1650,1790,1633,1740,31.14113623
2017-05-10,1680.7,1789.99,1680.69,1772,9.88656139
2017-05-11,1760,1988,1746,1874.5,22.71337064
2017-05-12,1859,1880,1680,1700,34.8108094
2017-05-13,1700,1740,1638,1739,21.36316348
2017-05-14,1740,1846.99,1700,1781.03,11.63322585
2017-05-15,1781.03,1814.99,1656.02,1740,10.16583586
2017-05-16,1716,1775,1680,1775,7.75704137
2017-05-17,1774.99,1846.99,1703.02,1800,6.46812319
2017-05-18,1801,1885,1790,1875.99,11.45088464
2017-05-19,1884.48,2088,1875.99,1931.01,19.16554422
2017-05-20,1950,2019.98,1915.51,1980,6.41521208
2017-05-21,1980,2050,1768.09,2029.99,9.59020474
2017-05-22,2015,2350,2007.02,2080,30.19878069
2017-05-23,2179,2284,2106,2221,15.18219822
2017-05-24,2244.21,2470,2220,2469,60.30774155
2017-05-25,2430.83,2899,2332.01,2360,39.22564357
2017-05-26,2440,2699,2241.01,2331,21.60262309
2017-05-27,2450,2450,2005,2230,17.59288919
2017-05-28,2295,2500,2155,2338,18.32706175
2017-05-29,2388,2498,2156.01,2390.2,30.99704489
2017-05-30,2390.2,2500,2270,2361.99,21.73743709
2017-05-31,2383,2448,2300.01,2389,25.54244693
2017-06-01,2428,2581.97,2418,2430.31,19.82804443
2017-06-02,2499.99,2550,2465,2480.01,8.64867809
2017-06-03,2518,2679.97,2504.73,2595.01,10.30543139
2017-06-04,2625.01,2688,2568,2574,13.18723037
2017-06-05,2614.86,2798.99,2600,2713.03,13.29231364
2017-06-06,2796.39,3180,2713.05,2969.99,21.5726263
2017-06-07,2973.97,3044.91,2785,2849,17.50963702
2017-06-08,2848.99,2889.55,2753.8,2842.41,10.06508941
2017-06-09,2844.99,2973.75,2804.02,2900,4.21944898
2017-06-10,2878.05,2991,2878.05,2957.66,7.09047181
2017-06-11,2977.98,3069.99,2910,3067.99,8.15903739
2017-06-12,3067,3125.99,2750,2869.97,17.71101123
2017-06-13,2869.99,2955,2772,2823,12.13510376
2017-06-14,2830,2938,2550,2739.32,13.81420594
2017-06-15,2730,2730,2352,2575,8.57139917
2017-06-16,2575,2650,2450.1,2550.01,4.77312092
2017-06-17,2511,2699,2510.01,2699,4.19634783
2017-06-18,2691.11,2730,2500,2616.79,12.48670659
2017-06-19,2624.99,2683,2574.46,2610.01,8.29060964
2017-06-20,2610.08,2900,2605,2900,17.60842127
2017-06-21,2787.01,2896.94,2701.99,2800,11.30535762
2017-06-22,2800,2800,2679,2715.21,5.19154734
2017-06-23,2779.99,3099.99,2725.07,2782.34,16.30230469
2017-06-24,2727.05,2819.99,2641.1,2647.2,10.27908142
2017-06-25,2647,2750,2525,2634.84,16.02128148
2017-06-26,2599.99,2844,2354.01,2426.02,23.38692747
2017-06-27,2539.96,2649.01,2352.03,2555,21.20837644
2017-06-28,2555,2699.98,2481,2650,9.97521833
2017-06-29,2695.47,2700,2620.13,2689,20.98474802
2017-06-30,2689,2690,2600,2645.16,11.29897706
2017-07-01,2544.35,2657.99,2450,2469.84,14.58844692
2017-07-02,2593.67,2593.67,2498.04,2585.99,2.78282795
2017-07-03,2513.9,2658,2513.78,2651.99,14.44079027
2017-07-04,2647.01,2688,2607,2610.05,12.0314177
2017-07-05,2629.13,846513,2570,2689,29.93598978
2017-07-06,2650,2691.01,2613.45,2686,12.27488916
2017-07-07,2630.5,2686.99,2511.03,2615,11.06506838
2017-07-08,2614.99,2615,2511.16,2613,1.68121566
2017-07-09,2615,2635,2550,2573,2.01109291
2017-07-10,2572,2619.79,2353,2420,28.66118532
2017-07-11,2425,2488.16,2355,2400,11.59233058
2017-07-12,2400,2497,2316,2450,7.78513412
2017-07-13,2498.88,2523.94,2401,2479.95,14.9503684
2017-07-14,2480,2482.46,2160.01,2200,21.9128504
2017-07-15,2250,2298.83,2000,2129.86,11.79350635
2017-07-16,2129.86,2328,1800,1965,22.69738081
2017-07-17,2116.99,2260,2055.58,2240,20.13856597
2017-07-18,2260,2439.9,2250.01,2399.96,8.24685536
2017-07-19,2302,2430,2235,2386.94,11.08488808
2017-07-20,2360,2728.98,2340,2660.59,45.57182988
2017-07-21,2729,2749,2595.02,2679.95,14.82045767
2017-07-22,2679.95,2841.95,2679.95,2820.08,12.08291439
2017-07-23,2839.59,2840,2695,2810,10.07445118
2017-07-24,2810,2819.99,2740.51,2770,2.24085168
2017-07-25,2799.99,2819.97,2540,2579,10.94714952
2017-07-26,2599.99,2619.18,2501,2585,6.54703264
2017-07-27,2590,2749.96,2510,2602.05,11.43237759
2017-07-28,2650,2807.96,2650,2798.88,11.80612146
2017-07-29,2685.07,2797.86,2600.01,2765,6.43394132
2017-07-30,2706,2760,2675,2710.03,2.73272384
2017-07-31,2760,2900,2720,2790,6.55953627
2017-08-01,2933,3059.99,2750,2780,5.62734704
2017-08-02,2780,2844.9,2710.04,2811.99,3.77453706
2017-08-03,2710.16,2812,2710.16,2800,1.85990646
2017-08-04,2810,2900,2760.06,2878,4.09545171
2017-08-05,2878,3319.45,2877,3151.68,14.45424394
2017-08-06,3299.93,3299.95,3130.01,3146.51,3.22105538
2017-08-07,3237.92,3399.99,191.75,3380,52.10965505
2017-08-08,3380,3450,3250,3449.99,4.26769299
2017-08-09,3398,3449.99,3261.11,3334.44,8.3174528
2017-08-10,3435,3600,3340,3568,18.7130434
2017-08-11,3491,4500,3476.1,3758.99,10.12273332
2017-08-12,3757,4389.99,3603.03,3821,16.11224353
2017-08-13,3957,4339.99,3840.01,4000.02,15.84538704
2017-08-14,4139,4386,4122.01,4376.89,5.19999635
2017-08-15,4376.89,4487.99,3901.05,4242.99,11.09656888
2017-08-16,4196.14,4399.9,4010.01,4330,8.60156461
2017-08-17,4400,4799.95,4301,4419.18,42.8374766
2017-08-18,4411,4592.97,4202,4229.01,15.0444177
2017-08-19,4482.99,4500.99,4160,4370,10.90049608
2017-08-20,4256,4468.99,4233,4250.02,5.95970168
2017-08-21,4250.02,4372,4111,4120.05,4.87941206
2017-08-22,4116,4248,3920,4170,14.46367231
2017-08-23,4171,4400,4060,4250,7.11749138
2017-08-24,4250,4450,4171.02,4384,7.47266375
2017-08-25,4384,4600,4306.03,4430,6.48573981
2017-08-26,4434,4495.74,4305.04,4390.04,3.03492421
2017-08-27,4390.04,4465.99,4360,4370.04,6.52494227
2017-08-28,4371.01,4500,4311.06,4458,6.85895598
2017-08-29,4430,4698,4430,4600,9.98088906
2017-08-30,4536.03,4695.99,4536.03,4615,5.81992285
2017-08-31,4573.03,4898.94,4573.02,4770,11.77836646
2017-09-01,4770,4950,4760,4904.22,9.794547
2017-09-02,4917.75,4986.99,4654.22,4655.02,22.10395443
2017-09-03,4730,4855.99,4655.03,4720.06,2.47980673
2017-09-04,4720.04,4856,4370,4500.02,15.15279901
2017-09-05,4500.01,4900,4373.01,4600.01,14.86774387
2017-09-06,4709.99,4850,4600.02,4800,6.27312734
2017-09-07,4800,4867.41,4735,4750.06,4.19754175
2017-09-08,4750.06,4858,4500,4610,75.44418227
2017-09-09,4610.01,4800,4500.2,4513.07,8.08124472
2017-09-10,4513.07,4681,4401,4450,10.95205645
2017-09-11,4470.01,4600,4401,4440,7.10499345
2017-09-12,4444.01,4700,4401.03,4460,11.91012506
2017-09-13,4460.01,4460.01,4003,4065.04,17.59797042
