day,price
2017-05-26,2331
2017-05-27,2230
2017-05-28,2338
2017-05-29,2390.2
2017-05-30,2361.99
2017-05-31,2389
2017-06-01,2430.31
2017-06-02,2480.01
2017-06-03,2595.01
2017-06-04,2574
2017-06-05,2713.03
2017-06-06,2969.99
2017-06-07,2849
2017-06-08,2842.41
2017-06-09,2900
2017-06-10,2957.66
2017-06-11,3067.99
2017-06-12,2869.97
2017-06-13,2823
2017-06-14,2739.32
2017-06-15,2575
2017-06-16,2550.01
2017-06-17,2699
2017-06-18,2616.79
2017-06-19,2610.01
2017-06-20,2900
2017-06-21,2800
2017-06-22,2715.21
2017-06-23,2782.34
2017-06-24,2647.2
2017-06-25,2634.84
2017-06-26,2426.02
2017-06-27,2555
2017-06-28,2650
2017-06-29,2689
2017-06-30,2645.16
2017-07-01,2469.84
2017-07-02,2585.99
2017-07-03,2651.99
2017-07-04,2610.05
2017-07-05,2689
2017-07-06,2686
2017-07-07,2615
2017-07-08,2613
2017-07-09,2573
2017-07-10,2420
2017-07-11,2400
2017-07-12,2450
2017-07-13,2479.95
2017-07-14,2200
2017-07-15,2129.86
2017-07-16,1965
2017-07-17,2240
2017-07-18,2399.96
2017-07-19,2386.94
2017-07-20,2660.59
2017-07-21,2679.95
2017-07-22,2820.08
2017-07-23,2810
2017-07-24,2770
2017-07-25,2579
2017-07-26,2585
2017-07-27,2602.05
2017-07-28,2798.88
2017-07-29,2765
2017-07-30,2710.03
2017-07-31,2790
2017-08-01,2780
2017-08-02,2811.99
2017-08-03,2800
2017-08-04,2878
2017-08-05,3151.68
2017-08-06,3146.51
2017-08-07,3380
2017-08-08,3449.99
2017-08-09,3334.44
2017-08-10,3568
2017-08-11,3758.99
2017-08-12,3821
2017-08-13,4000.02
2017-08-14,4376.89
2017-08-15,4242.99
2017-08-16,4330
2017-08-17,4419.18
2017-08-18,4229.01
2017-08-19,4370
2017-08-20,4250.02
2017-08-21,4120.05
2017-08-22,4170
2017-08-23,4250
2017-08-24,4384
2017-08-25,4430
2017-08-26,4390.04
2017-08-27,4370.04
2017-08-28,4458
2017-08-29,4600
2017-08-30,4615
2017-08-31,4770
2017-09-01,4904.22
2017-09-02,4655.02
2017-09-03,4720.06
2017-09-04,4500.02
2017-09-05,4600.01
2017-09-06,4800
2017-09-07,4750.06
2017-09-08,4610
2017-09-09,4513.07
2017-09-10,4450
2017-09-11,4440
2017-09-12,4460
2017-09-13,4065.04
2017-09-14,3676.99
2017-09-15,3811
2017-09-16,3742.13
2017-09-17,3899.92
2017-09-18,4248.98
2017-09-19,3990
2017-09-20,4012.32
2017-09-21,3701.32
2017-09-22,3632.96
2017-09-23,3800.01
2017-09-24,3726
2017-09-25,3985.99
2017-09-26,3999.99
2017-09-27,4203.94
2017-09-28,4222.98
2017-09-29,4224.7
2017-09-30,4340.01
2017-10-01,4340
2017-10-02,4438
2017-10-03,4303.01
2017-10-04,4250
2017-10-05,4282.51
2017-10-06,4341.11
2017-10-07,4399
2017-10-08,4570.5
2017-10-09,4754.83
2017-10-10,4708
2017-10-11,4789
2017-10-12,4949.98
2017-10-13,5210
2017-10-14,5500
2017-10-15,5462.19
2017-10-16,5600
2017-10-17,5516
2017-10-18,5519.98
2017-10-19,5620
2017-10-20,5753.51
2017-10-21,6023.4
2017-10-22,5908.09
2017-10-23,5849.9
2017-10-24,5511.46
2017-10-25,5604
2017-10-26,5880
2017-10-27,5705.53
2017-10-28,5761.8
2017-10-29,5999.99
2017-10-30,5944.86
2017-10-31,6050
2017-11-01,6100
2017-11-02,6788.7
2017-11-03,7000.01
2017-11-04,7330.18
2017-11-05,7380.02
2017-11-06,7063.35
2017-11-07,7144
2017-11-08,7260.2
2017-11-09,7230
2017-11-10,7047
2017-11-11,6436.96
2017-11-12,6176.93
2017-11-13,6404.02
2017-11-14,6460.01
2017-11-15,7211.77
2017-11-16,7992.99
2017-11-17,7820
2017-11-18,7811.7
2017-11-19,8085.99
2017-11-20,8260
2017-11-21,8100.04
2017-11-22,8263.5
2017-11-23,8172.02
2017-11-24,8220
2017-11-25,8798.87
2017-11-26,9163.08
2017-11-27,9658.41
2017-11-28,9888.07
2017-11-29,9800
2017-11-30,9875.85
2017-12-01,10750
2017-12-02,11099.79
2017-12-03,11127.99
2017-12-04,11339.9
2017-12-05,11701
2017-12-06,13750
2017-12-07,16633
2017-12-08,15747.54
2017-12-09,14503.51
2017-12-10,14835.91
2017-12-11,16629.6
2017-12-12,16800
2017-12-13,16303
2017-12-14,16323.01
2017-12-15,17250
2017-12-16,18819.82
2017-12-17,18320
2017-12-18,18884
2017-12-19,18400
2017-12-20,17977.98
2017-12-21,16710.99
2017-12-22,15262.22
2017-12-23,16000
2017-12-24,15039
2017-12-25,14565.55
2017-12-26,15801.54
2017-12-27,16033.11
2017-12-28,15500
2017-12-29,15430
2017-12-30,13815
2017-12-31,14664.65
2018-01-01,14430.6
2018-01-02,15454.5
2018-01-03,16080
2018-01-04,15415
2018-01-05,17480
2018-01-06,17234.19
2018-01-07,16788
2018-01-08,15589.98
2018-01-09,14955
2018-01-10,15175
2018-01-11,14250
2018-01-12,14225.03
2018-01-13,14948.98
2018-01-14,14600
2018-01-15,14300
2018-01-16,12196.66
2018-01-17,11400
2018-01-18,12597
2018-01-19,11990
2018-01-20,12702.05
2018-01-21,11849
2018-01-22,10993
2018-01-23,10750
2018-01-24,11235.96
2018-01-25,11280
2018-01-26,11160
2018-01-27,11381.1
2018-01-28,11797.5
2018-01-29,11250
2018-01-30,10255
2018-01-31,10071
2018-02-01,9120
2018-02-02,8963.75
2018-02-03,9170.5
2018-02-04,8350
2018-02-05,6756.61
2018-02-06,7712.19
2018-02-07,7936.82
2018-02-08,8247.5
2018-02-09,8611
2018-02-10,8400.01
2018-02-11,8184.25
2018-02-12,8847.29
2018-02-13,8621
2018-02-14,9600
2018-02-15,10199.96
2018-02-16,10145
2018-02-17,11049.62
2018-02-18,10720.57
2018-02-19,11086.23
2018-02-20,11250.01
2018-02-21,10442.13
2018-02-22,9992.52
2018-02-23,10081.09
2018-02-24,9643.2
2018-02-25,9651.65
2018-02-26,10184.25
2018-02-27,10641
2018-02-28,10308
2018-03-01,10902
2018-03-02,10800.98
2018-03-03,11200.02
2018-03-04,11267.2
2018-03-05,11447.98
2018-03-06,10650.02
2018-03-07,10010
2018-03-08,9510
2018-03-09,9350.25
2018-03-10,8909
2018-03-11,9508.19
2018-03-12,9124.59
2018-03-13,9600
2018-03-14,8420.01
2018-03-15,8306
2018-03-16,8875.89
2018-03-17,8150.01
