close_sp500,close_btc,y
2111.719971,726,476
2097.939941,763,477
2088.659912,700,478
2085.179932,749.99,479
2131.52002,717,480
2139.560059,718.05,481
2163.26001,748,482
2167.47998,774,483
2164.449951,750,484
2164.199951,707,485
2180.389893,744,486
2176.939941,776.5,487
2187.1201170000004,777,488
2181.899902,770,489
2198.179932,750,490
2202.939941,798.99,491
2204.719971,863,492
2213.350098,783.99,493
2201.719971,768.9,494
2204.659912,771.99,495
2198.810059,773.24,496
2191.080078,760.1,497
2191.949951,776,498
2204.709961,798,499
2212.22998,819,500
2241.350098,815,501
2246.189941,820,502
2259.530029,817.5,503
2256.959961,810,504
2271.719971,812.5,505
2253.280029,810.47,506
2262.030029,804.09,507
2258.070068,818,508
2262.530029,809,509
2270.76001,828.99,510
2265.179932,864,511
2260.959961,901,512
2263.790039,977.99,513
2268.8798829999996,982,514
2249.919922,979.01,515
2249.26001,987.5,516
2238.830078,986.9,517
2257.830078,1069.49,518
2270.75,1210,519
2269,1068,520
2276.97998,1001,521
2268.899902,957.5,522
2268.899902,941.5,523
2275.320068,820,524
2270.439941,899.99,525
2274.639893,822.01,526
2267.889893,940,527
2271.889893,890,528
2263.689941,948,529
2271.310059,921,530
2265.199951,950,531
2280.070068,938.5,532
2298.3701170000004,921.52,533
2296.679932,939,534
2294.689941,940,535
2280.899902,950,536
2278.8701170000004,995,537
2279.550049,998.9,538
2280.850098,1010,539
2297.419922,1017,540
2292.560059,1046.95,541
2293.080078,1080,542
2294.669922,1069.5,543
2307.8701170000004,1008.49,544
2316.100098,1013,545
2328.25,1012.01,546
2337.580078,1053.99,547
2349.25,1028,548
2347.219971,1050,549
2351.159912,1090,550
2365.3798829999996,1156.99,551
2362.820068,1175.41,552
2363.810059,1193.49,553
2367.340088,1183.99,554
2369.75,1231,555
2363.639893,1204.5,556
2395.959961,1244,557
2381.919922,1264.99,558
2383.1201170000004,1294.99,559
2375.310059,1293,560
2368.389893,1265,561
2362.97998,1150.04,562
2364.8701170000004,1219.68,563
2372.600098,1144,564
2373.469971,1244.64,565
2365.449951,1279,566
2385.26001,1269.01,567
2381.3798829999996,1241,568
2378.25,1155,569
2373.469971,1120,570
2344.02002,1169,571
2348.449951,1075.99,572
2345.959961,1060.55,573
2343.97998,949,574
2341.590088,1064.99,575
2358.570068,1108,576
2361.1298829999996,1067,577
2368.060059,1078,578
2362.719971,1089,579
2358.840088,1188.74,580
2360.159912,1165,581
2352.949951,1158.99,582
2357.48999,1194,583
2355.540039,1209.77,584
2357.159912,1235,585
2353.780029,1223.5,586
2344.929932,1223,587
2328.949951,1214,588
2349.01001,1200,589
2342.189941,1240.39,590
2338.169922,1215,591
2355.840088,1248.98,592
2348.689941,1255.4,593
2374.149902,1242,594
2388.610107,1265,595
2387.449951,1312.99,596
2388.77002,1340,597
2384.199951,1349.9,598
2388.330078,1362.5,599
2391.169922,1434.99,600
2388.1298829999996,1491.99,601
2389.52002,1480,602
2399.290039,1529,603
2399.3798829999996,1725.99,604
2396.919922,1740,605
2399.6298829999996,1772,606
2394.439941,1874.5,607
2390.899902,1700,608
2402.320068,1740,609
2400.669922,1775,610
2357.030029,1800,611
2365.719971,1875.99,612
2381.72998,1931.01,613
2394.02002,2080,614
2398.419922,2221,615
2404.389893,2469,616
2415.070068,2360,617
2415.820068,2331,618
2412.909912,2361.99,619
2411.800049,2389,620
2430.060059,2430.31,621
2439.070068,2480.01,622
2436.100098,2713.03,623
2429.330078,2969.99,624
2433.139893,2849,625
2433.790039,2842.41,626
2431.77002,2900,627
2429.389893,2869.97,628
2440.350098,2823,629
2437.919922,2739.32,630
2432.459961,2575,631
2433.149902,2550.01,632
2453.459961,2610.01,633
2437.030029,2900,634
2435.610107,2800,635
2434.5,2715.21,636
2438.300049,2782.34,637
2439.070068,2426.02,638
2419.3798829999996,2555,639
2440.689941,2650,640
2419.699951,2689,641
2423.409912,2645.16,642
2429.01001,2651.99,643
2432.540039,2689,644
2409.75,2686,645
2425.179932,2615,646
2427.429932,2420,647
2425.530029,2400,648
2443.25,2450,649
2447.830078,2479.95,650
2459.27002,2200,651
2459.139893,2240,652
2460.610107,2399.96,653
2473.830078,2386.94,654
2473.449951,2660.59,655
2472.540039,2679.95,656
2469.909912,2770,657
2477.1298829999996,2579,658
2477.830078,2585,659
2475.419922,2602.05,660
2472.100098,2798.88,661
2470.300049,2790,662
2476.350098,2780,663
2477.570068,2811.99,664
2472.159912,2800,665
2476.830078,2878,666
2480.909912,3380,667
2474.919922,3449.99,668
2474.02002,3334.44,669
2438.209961,3568,670
2441.320068,3758.99,671
2465.840088,4376.89,672
2464.610107,4242.99,673
2468.110107,4330,674
2430.01001,4419.18,675
2425.550049,4229.01,676
2428.3701170000004,4120.05,677
2452.51001,4170,678
2444.040039,4250,679
2438.969971,4384,680
2443.050049,4430,681
2444.23999,4458,682
2446.300049,4600,683
2457.590088,4615,684
2471.649902,4770,685
2476.550049,4904.22,686
2457.850098,4600.01,687
2465.540039,4800,688
2465.100098,4750.06,689
2461.429932,4610,690
2488.110107,4440,691
2496.47998,4460,692
2498.3701170000004,4065.04,693
2495.6201170000004,3676.99,694
2500.22998,3811,695
2503.8701170000004,4248.98,696
2506.649902,3990,697
2508.23999,4012.32,698
2500.600098,3701.32,699
2502.219971,3632.96,700
2496.659912,3985.99,701
2496.840088,3999.99,702
2507.040039,4203.94,703
2510.060059,4222.98,704
2519.360107,4224.7,705
2529.1201170000004,4438,706
2534.580078,4303.01,707
2537.73999,4250,708
2552.070068,4282.51,709
2549.330078,4341.11,710
2544.72998,4754.83,711
2550.639893,4708,712
2555.23999,4789,713
2550.929932,4949.98,714
2553.169922,5210,715
2557.639893,5600,716
2559.360107,5516,717
2561.26001,5519.98,718
2562.100098,5620,719
2575.209961,5753.51,720
2564.97998,5849.9,721
2569.1298829999996,5511.46,722
2557.149902,5604,723
2560.399902,5880,724
2581.070068,5705.53,725
2572.830078,5944.86,726
2575.26001,6050,727
2579.360107,6100,728
2579.850098,6788.7,729
